variable;empresa;año;valor;tipo
%_reduction_co2_2030;Bankinter;2019;0;cuantitativo
external_audit;Bankinter;2018;0;cualitativo
2030_commitment;Bankinter;2018;1;cualitativo
waste_management;Bankinter;2018;1;cualitativo
climate_strategy;Bankinter;2018;0;cualitativo
water_management;Bankinter;2018;0;cualitativo
recognized_env_standard;Bankinter;2018;1;cualitativo
energy_management;Bankinter;2018;1;cualitativo
descarbonization_strategy;Bankinter;2018;0;cualitativo
%_renewable_energy;Bankinter;2018;0.23;cuantitativo
%_reduction_co2_2030;Bankinter;2018;0;cuantitativo
external_audit;Bankinter;2017;0;cualitativo
2030_commitment;Bankinter;2017;0;cualitativo
waste_management;Bankinter;2017;1;cualitativo
climate_strategy;Bankinter;2017;0;cualitativo
water_management;Bankinter;2017;0;cualitativo
recognized_env_standard;Bankinter;2017;1;cualitativo
energy_management;Bankinter;2017;1;cualitativo
descarbonization_strategy;Bankinter;2017;0;cualitativo
%_renewable_energy;Bankinter;2017;0.23;cuantitativo
%_reduction_co2_2030;Bankinter;2017;0;cuantitativo
external_audit;Caixabank;2021;1;cualitativo
2030_commitment;Caixabank;2021;1;cualitativo
waste_management;Caixabank;2021;1;cualitativo
climate_strategy;Caixabank;2021;1;cualitativo
water_management;Caixabank;2021;1;cualitativo
recognized_env_standard;Caixabank;2021;1;cualitativo
energy_management;Caixabank;2021;1;cualitativo
descarbonization_strategy;Caixabank;2021;1;cualitativo
%_renewable_energy;Caixabank;2021;1;cuantitativo
%_reduction_co2_2030;Caixabank;2021;0;cuantitativo
external_audit;Caixabank;2020;0;cualitativo
2030_commitment;Caixabank;2020;1;cualitativo
waste_management;Caixabank;2020;1;cualitativo
climate_strategy;Caixabank;2020;1;cualitativo
water_management;Caixabank;2020;1;cualitativo
recognized_env_standard;Caixabank;2020;1;cualitativo
energy_management;Caixabank;2020;1;cualitativo
descarbonization_strategy;Caixabank;2020;1;cualitativo
%_renewable_energy;Caixabank;2020;1;cuantitativo
%_reduction_co2_2030;Caixabank;2020;0;cuantitativo
external_audit;Caixabank;2019;0;cualitativo
2030_commitment;Caixabank;2019;0;cualitativo
waste_management;Caixabank;2019;0;cualitativo
climate_strategy;Caixabank;2019;1;cualitativo
water_management;Caixabank;2019;0;cualitativo
recognized_env_standard;Caixabank;2019;1;cualitativo
energy_management;Caixabank;2019;1;cualitativo
descarbonization_strategy;Caixabank;2019;1;cualitativo
%_renewable_energy;Caixabank;2019;0;cuantitativo
%_reduction_co2_2030;Caixabank;2019;0;cuantitativo
external_audit;Caixabank;2018;1;cualitativo
2030_commitment;Caixabank;2018;1;cualitativo
waste_management;Caixabank;2018;1;cualitativo
climate_strategy;Caixabank;2018;1;cualitativo
water_management;Caixabank;2018;0;cualitativo
recognized_env_standard;Caixabank;2018;1;cualitativo
energy_management;Caixabank;2018;1;cualitativo
descarbonization_strategy;Caixabank;2018;1;cualitativo
%_renewable_energy;Caixabank;2018;0;cuantitativo
%_reduction_co2_2030;Caixabank;2018;0;cuantitativo
external_audit;Caixabank;2017;0;cualitativo
2030_commitment;Caixabank;2017;0;cualitativo
waste_management;Caixabank;2017;0;cualitativo
climate_strategy;Caixabank;2017;1;cualitativo
water_management;Caixabank;2017;0;cualitativo
recognized_env_standard;Caixabank;2017;1;cualitativo
energy_management;Caixabank;2017;1;cualitativo
descarbonization_strategy;Caixabank;2017;0;cualitativo
%_renewable_energy;Caixabank;2017;0;cuantitativo
%_reduction_co2_2030;Caixabank;2017;0;cuantitativo
external_audit;Santander;2017;0;cualitativo
2030_commitment;Santander;2017;0;cualitativo
waste_management;Santander;2017;1;cualitativo
climate_strategy;Santander;2017;1;cualitativo
water_management;Santander;2017;1;cualitativo
recognized_env_standard;Santander;2017;0;cualitativo
energy_management;Santander;2017;0;cualitativo
descarbonization_strategy;Santander;2017;0;cualitativo
%_renewable_energy;Santander;2017;0;cuantitativo
%_reduction_co2_2030;Santander;2017;0;cuantitativo
external_audit;Santander;2018;0;cualitativo
2030_commitment;Santander;2018;1;cualitativo
waste_management;Santander;2018;1;cualitativo
climate_strategy;Santander;2018;1;cualitativo
water_management;Santander;2018;0;cualitativo
recognized_env_standard;Santander;2018;1;cualitativo
energy_management;Santander;2018;1;cualitativo
descarbonization_strategy;Santander;2018;0;cualitativo
%_renewable_energy;Santander;2018;0;cuantitativo
%_reduction_co2_2030;Santander;2018;0;cuantitativo
external_audit;Santander;2019;1;cualitativo
2030_commitment;Santander;2019;1;cualitativo
waste_management;Santander;2019;1;cualitativo
climate_strategy;Santander;2019;1;cualitativo
water_management;Santander;2019;0;cualitativo
recognized_env_standard;Santander;2019;1;cualitativo
energy_management;Santander;2019;1;cualitativo
descarbonization_strategy;Santander;2019;0;cualitativo
