variable;empresa;año;valor;tipo
2030_commitment;Ferrovial;2020;0;cualitativo
biodiversity_commitment;Ferrovial;2020;0;cualitativo
climate_strategy;Ferrovial;2020;1;cualitativo
green_buildings;Ferrovial;2020;1;cualitativo
recognized_env_standard;Ferrovial;2020;1;cualitativo
energy_management;Ferrovial;2020;0;cualitativo
building_materials;Ferrovial;2020;0;cualitativo
resource_efficiency;Ferrovial;2020;0;cualitativo
%_renewable_energy;Ferrovial;2020;0;cuantitativo
external_audit;Ferrovial;2019;0;cualitativo
2030_commitment;Ferrovial;2019;1;cualitativo
biodiversity_commitment;Ferrovial;2019;0;cualitativo
climate_strategy;Ferrovial;2019;1;cualitativo
green_buildings;Ferrovial;2019;0;cualitativo
recognized_env_standard;Ferrovial;2019;1;cualitativo
energy_management;Ferrovial;2019;0;cualitativo
building_materials;Ferrovial;2019;0;cualitativo
resource_efficiency;Ferrovial;2019;0;cualitativo
%_renewable_energy;Ferrovial;2019;0.59;cuantitativo
external_audit;Ferrovial;2018;0;cualitativo
2030_commitment;Ferrovial;2018;0;cualitativo
biodiversity_commitment;Ferrovial;2018;0;cualitativo
climate_strategy;Ferrovial;2018;1;cualitativo
green_buildings;Ferrovial;2018;1;cualitativo
recognized_env_standard;Ferrovial;2018;1;cualitativo
energy_management;Ferrovial;2018;1;cualitativo
building_materials;Ferrovial;2018;0;cualitativo
resource_efficiency;Ferrovial;2018;0;cualitativo
%_renewable_energy;Ferrovial;2018;0.88;cuantitativo
external_audit;Ferrovial;2017;0;cualitativo
2030_commitment;Ferrovial;2017;0;cualitativo
biodiversity_commitment;Ferrovial;2017;0;cualitativo
climate_strategy;Ferrovial;2017;1;cualitativo
green_buildings;Ferrovial;2017;1;cualitativo
recognized_env_standard;Ferrovial;2017;1;cualitativo
energy_management;Ferrovial;2017;0;cualitativo
building_materials;Ferrovial;2017;0;cualitativo
resource_efficiency;Ferrovial;2017;0;cualitativo
%_renewable_energy;Ferrovial;2017;0.36;cuantitativo
external_audit;Grifols;2021;0;cualitativo
2030_commitment;Grifols;2021;1;cualitativo
biodiversity_commitment;Grifols;2021;1;cualitativo
climate_strategy;Grifols;2021;1;cualitativo
recognized_env_standard;Grifols;2021;1;cualitativo
energy_management;Grifols;2021;1;cualitativo
%_renewable_energy;Grifols;2021;0.83;cuantitativo
external_audit;Grifols;2020;1;cualitativo
2030_commitment;Grifols;2020;1;cualitativo
biodiversity_commitment;Grifols;2020;1;cualitativo
climate_strategy;Grifols;2020;1;cualitativo
recognized_env_standard;Grifols;2020;1;cualitativo
energy_management;Grifols;2020;1;cualitativo
%_renewable_energy;Grifols;2020;0.02;cuantitativo
external_audit;Grifols;2019;0;cualitativo
2030_commitment;Grifols;2019;1;cualitativo
biodiversity_commitment;Grifols;2019;0;cualitativo
climate_strategy;Grifols;2019;1;cualitativo
